currency_code,rate,date,source
AUD,,2024-12-01,NBP
AUD,2.6514,2024-12-02,NBP
AUD,2.6505,2024-12-03,NBP
AUD,2.6218,2024-12-04,NBP
AUD,2.6109,2024-12-05,NBP
BGN,,2024-12-01,NBP
BGN,2.1946,2024-12-02,NBP
BGN,2.1948,2024-12-03,NBP
BGN,2.1934,2024-12-04,NBP
BGN,2.1829,2024-12-05,NBP
BRL,,2024-12-01,NBP
BRL,0.6835,2024-12-02,NBP
BRL,0.6733,2024-12-03,NBP
BRL,0.6761,2024-12-04,NBP
BRL,0.6712,2024-12-05,NBP
CAD,,2024-12-01,NBP
CAD,2.91,2024-12-02,NBP
CAD,2.9104,2024-12-03,NBP
CAD,2.9033,2024-12-04,NBP
CAD,2.8844,2024-12-05,NBP
CHF,,2024-12-01,NBP
CHF,4.6077,2024-12-02,NBP
CHF,4.6089,2024-12-03,NBP
CHF,4.6041,2024-12-04,NBP
CHF,4.5827,2024-12-05,NBP
CLP,,2024-12-01,NBP
CLP,0.004194,2024-12-02,NBP
CLP,0.004171,2024-12-03,NBP
CLP,0.004198,2024-12-04,NBP
CLP,0.004159,2024-12-05,NBP
CNY,,2024-12-01,NBP
CNY,0.5613,2024-12-02,NBP
CNY,0.5601,2024-12-03,NBP
CNY,0.5616,2024-12-04,NBP
CNY,0.5582,2024-12-05,NBP
CZK,,2024-12-01,NBP
CZK,0.17,2024-12-02,NBP
CZK,0.1702,2024-12-03,NBP
CZK,0.1707,2024-12-04,NBP
CZK,0.1698,2024-12-05,NBP
DKK,,2024-12-01,NBP
DKK,0.5755,2024-12-02,NBP
DKK,0.5755,2024-12-03,NBP
DKK,0.5752,2024-12-04,NBP
DKK,0.5724,2024-12-05,NBP
EUR,,2024-12-01,NBP
EUR,4.2923,2024-12-02,NBP
EUR,4.2927,2024-12-03,NBP
EUR,4.2899,2024-12-04,NBP
EUR,4.2695,2024-12-05,NBP
GBP,,2024-12-01,NBP
GBP,5.1871,2024-12-02,NBP
GBP,5.1726,2024-12-03,NBP
GBP,5.1776,2024-12-04,NBP
GBP,5.1589,2024-12-05,NBP
HKD,,2024-12-01,NBP
HKD,0.5247,2024-12-02,NBP
HKD,0.5243,2024-12-03,NBP
HKD,0.5248,2024-12-04,NBP
HKD,0.5211,2024-12-05,NBP
HUF,,2024-12-01,NBP
HUF,0.010365,2024-12-02,NBP
HUF,0.010357,2024-12-03,NBP
HUF,0.010362,2024-12-04,NBP
HUF,0.010346,2024-12-05,NBP
IDR,,2024-12-01,NBP
IDR,0.00025677,2024-12-02,NBP
IDR,0.00025598,2024-12-03,NBP
IDR,0.0002564,2024-12-04,NBP
IDR,0.00025569,2024-12-05,NBP
ILS,,2024-12-01,NBP
ILS,1.1217,2024-12-02,NBP
ILS,1.122,2024-12-03,NBP
ILS,1.1301,2024-12-04,NBP
ILS,1.1251,2024-12-05,NBP
INR,,2024-12-01,NBP
INR,0.048195,2024-12-02,NBP
INR,0.048185,2024-12-03,NBP
INR,0.048214,2024-12-04,NBP
INR,0.047859,2024-12-05,NBP
ISK,,2024-12-01,NBP
ISK,0.0295,2024-12-02,NBP
ISK,0.029463,2024-12-03,NBP
ISK,0.029443,2024-12-04,NBP
ISK,0.029344,2024-12-05,NBP
JPY,,2024-12-01,NBP
JPY,0.027154,2024-12-02,NBP
JPY,0.027235,2024-12-03,NBP
JPY,0.027116,2024-12-04,NBP
JPY,0.026979,2024-12-05,NBP
KRW,,2024-12-01,NBP
KRW,0.002907,2024-12-02,NBP
KRW,0.00291,2024-12-03,NBP
KRW,0.002888,2024-12-04,NBP
KRW,0.002861,2024-12-05,NBP
MXN,,2024-12-01,NBP
MXN,0.1998,2024-12-02,NBP
MXN,0.2003,2024-12-03,NBP
MXN,0.2007,2024-12-04,NBP
MXN,0.2003,2024-12-05,NBP
MYR,,2024-12-01,NBP
MYR,0.9154,2024-12-02,NBP
MYR,0.9128,2024-12-03,NBP
MYR,0.9173,2024-12-04,NBP
MYR,0.9159,2024-12-05,NBP
NOK,,2024-12-01,NBP
NOK,0.3684,2024-12-02,NBP
NOK,0.3694,2024-12-03,NBP
NOK,0.3694,2024-12-04,NBP
NOK,0.3669,2024-12-05,NBP
NZD,,2024-12-01,NBP
NZD,2.4106,2024-12-02,NBP
NZD,2.4058,2024-12-03,NBP
NZD,2.3864,2024-12-04,NBP
NZD,2.3782,2024-12-05,NBP
PHP,,2024-12-01,NBP
PHP,0.0696,2024-12-02,NBP
PHP,0.0696,2024-12-03,NBP
PHP,0.07,2024-12-04,NBP
PHP,0.07,2024-12-05,NBP
RON,,2024-12-01,NBP
RON,0.8624,2024-12-02,NBP
RON,0.8625,2024-12-03,NBP
RON,0.8618,2024-12-04,NBP
RON,0.8578,2024-12-05,NBP
SEK,,2024-12-01,NBP
SEK,0.3723,2024-12-02,NBP
SEK,0.3714,2024-12-03,NBP
SEK,0.3708,2024-12-04,NBP
SEK,0.3707,2024-12-05,NBP
SGD,,2024-12-01,NBP
SGD,3.0333,2024-12-02,NBP
SGD,3.0345,2024-12-03,NBP
SGD,3.0339,2024-12-04,NBP
SGD,3.0232,2024-12-05,NBP
THB,,2024-12-01,NBP
THB,0.1184,2024-12-02,NBP
THB,0.1186,2024-12-03,NBP
THB,0.1189,2024-12-04,NBP
THB,0.1187,2024-12-05,NBP
TRY,,2024-12-01,NBP
TRY,0.1175,2024-12-02,NBP
TRY,0.1176,2024-12-03,NBP
TRY,0.1174,2024-12-04,NBP
TRY,0.1169,2024-12-05,NBP
UAH,,2024-12-01,NBP
UAH,0.098,2024-12-02,NBP
UAH,0.0978,2024-12-03,NBP
UAH,0.098,2024-12-04,NBP
UAH,0.0974,2024-12-05,NBP
USD,,2024-12-01,NBP
USD,4.0827,2024-12-02,NBP
USD,4.0803,2024-12-03,NBP
USD,4.0845,2024-12-04,NBP
USD,4.0554,2024-12-05,NBP
XDR,,2024-12-01,NBP
XDR,5.3553,2024-12-02,NBP
XDR,5.3714,2024-12-03,NBP
XDR,5.3641,2024-12-04,NBP
XDR,5.3454,2024-12-05,NBP
ZAR,,2024-12-01,NBP
ZAR,0.2251,2024-12-02,NBP
ZAR,0.2254,2024-12-03,NBP
ZAR,0.2251,2024-12-04,NBP
ZAR,0.2246,2024-12-05,NBP
